,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,72.82608695652173,71.27329192546584,71.42857142857143,73.91304347826086,73.4472049689441,72.58 ± 1.19
Precision,71.53464757773733,68.77468789218997,68.93075629240785,71.70761817901744,71.51314398310735,70.49 ± 1.50
Sensitivity,72.82608695652173,71.27329192546584,71.42857142857143,73.91304347826086,73.4472049689441,72.58 ± 1.19
Specificity,80.5024989558541,78.02796344847978,78.8364859480429,79.88842546152087,80.3195212122935,79.51 ± 1.05
F1-score,71.92414400790271,69.12544168906435,69.60698841801631,72.10605130856571,72.03395009089687,70.96 ± 1.47
AUC,78.62885292169214,76.61019172411937,76.70053218146579,79.26628942540029,79.29460880673021,78.10 ± 1.35
