,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,72.20496894409938,70.34161490683229,72.36024844720497,69.56521739130434,71.27329192546584,71.15 ± 1.20
Precision,69.03582080595314,68.14003088365907,68.64556573391206,69.16196737499588,68.57143728612235,68.71 ± 0.41
Sensitivity,72.20496894409938,70.34161490683229,72.36024844720497,69.56521739130434,71.27329192546584,71.15 ± 1.20
Specificity,78.9828452583851,79.20025773755776,79.48790953516153,80.1747074119177,78.50714889414009,79.27 ± 0.62
F1-score,69.9182436296322,68.9001364225278,69.8474158114164,69.21965224479236,69.32993622120233,69.44 ± 0.43
AUC,79.30304554402848,77.41957058589108,77.8443867633767,78.36266227303605,80.33643049710842,78.65 ± 1.17
