,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,69.09937888198758,74.37888198757764,71.8944099378882,71.8944099378882,71.11801242236024,71.68 ± 1.89
Precision,67.85893023701904,71.8311939531268,68.41488663333838,68.33560067324672,68.22109260548784,68.93 ± 1.63
Sensitivity,69.09937888198758,74.37888198757764,71.8944099378882,71.8944099378882,71.11801242236024,71.68 ± 1.89
Specificity,79.04419185106583,79.20038344118382,78.04729118677697,76.81720062666159,78.41334014582523,78.30 ± 0.95
F1-score,68.41786157648303,71.93629573541148,69.2775464317536,68.747436502081,69.2091094252929,69.52 ± 1.40
AUC,78.24677916019294,78.12519648698954,75.70559625444179,76.5470925428161,76.8005031551592,77.09 ± 1.08
