,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,71.8944099378882,73.6024844720497,75.93167701863354,74.68944099378882,74.53416149068323,74.13 ± 1.50
Precision,69.68280601012034,70.44141708729325,73.61228319817744,72.84168707062543,72.01119360622158,71.72 ± 1.64
Sensitivity,71.8944099378882,73.6024844720497,75.93167701863354,74.68944099378882,74.53416149068323,74.13 ± 1.50
Specificity,80.1146662030459,78.99422304812728,79.96048264777477,79.87383094821983,79.51643136559456,79.69 ± 0.45
F1-score,70.42447930382984,70.67493207319093,72.93623258697316,72.32370129780166,72.06262028433059,71.68 ± 1.09
AUC,80.33855667814879,79.47008468741573,79.92063518389384,79.81378814528033,80.79034182387034,80.07 ± 0.51
