,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,65.99378881987577,65.83850931677019,66.45962732919256,66.45962732919256,66.92546583850931,66.34 ± 0.43
Precision,66.57143479492632,66.74239270740003,66.18455372213498,67.25997925831531,67.32533701312039,66.82 ± 0.48
Sensitivity,65.99378881987577,65.83850931677019,66.45962732919256,66.45962732919256,66.92546583850931,66.34 ± 0.43
Specificity,78.10065559920373,78.71788457686773,78.40569156365576,79.04731510269761,78.79343084453691,78.61 ± 0.37
F1-score,66.1880990946663,66.02112653197686,66.24972533659445,66.76855265634437,66.9022885725848,66.43 ± 0.39
AUC,74.45523609223218,76.63097930813451,75.89494967580555,76.39466974169807,75.67657289076466,75.81 ± 0.85
