,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.34161490683229,71.42857142857143,70.96273291925466,72.51552795031056,70.34161490683229,71.12 ± 0.91
Precision,68.00853908701373,70.1742183005136,71.31904877690273,71.67140604557102,69.49078899047464,70.13 ± 1.47
Sensitivity,70.34161490683229,71.42857142857143,70.96273291925466,72.51552795031056,70.34161490683229,71.12 ± 0.91
Specificity,78.91524893927091,80.00529115570559,81.76614593778417,81.07907570317158,80.00283510024285,80.35 ± 1.10
F1-score,68.92212548322374,70.53567247096422,71.02451711656721,72.04566525494131,69.86330579983935,70.48 ± 1.18
AUC,76.92775544177096,77.86969268855567,79.06067503432162,78.27381724139956,78.50385357828787,78.13 ± 0.80
