,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.96273291925466,68.94409937888199,69.56521739130434,71.73913043478261,71.11801242236024,70.47 ± 1.16
Precision,68.63185214726035,66.4223472475469,70.48358462455398,68.83328198259908,68.86085321276545,68.65 ± 1.45
Sensitivity,70.96273291925466,68.94409937888199,69.56521739130434,71.73913043478261,71.11801242236024,70.47 ± 1.16
Specificity,79.06379194721943,78.08800465735159,80.44861883624357,77.15606537078476,79.72464975263138,78.90 ± 1.30
F1-score,69.53630051559075,67.35243254205567,69.88936903835959,69.11829945356706,69.7152299923118,69.12 ± 1.03
AUC,76.55605444409866,75.41524045002195,79.47720589843023,74.33389828735002,77.3764793843837,76.63 ± 1.96
