,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.34161490683229,70.4968944099379,69.40993788819875,68.94409937888199,69.40993788819875,69.72 ± 0.67
Precision,68.3501150932963,67.99587992532722,66.5343681990558,66.21498386417558,67.1419768426514,67.25 ± 0.92
Sensitivity,70.34161490683229,70.4968944099379,69.40993788819875,68.94409937888199,69.40993788819875,69.72 ± 0.67
Specificity,77.36841102687679,77.23849632935743,77.19617288541843,76.58103413343369,77.81786273022216,77.24 ± 0.44
F1-score,68.80233461028625,68.60692948463846,67.53705776530731,67.01696413227603,68.00150427018635,67.99 ± 0.74
AUC,74.08440052318511,73.35448910795377,74.69909593165373,75.55360161440836,76.37995713225276,74.81 ± 1.19
