,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.4968944099379,70.03105590062113,70.03105590062113,68.47826086956522,68.47826086956522,69.50 ± 0.95
Precision,67.986661110946,68.80493216077883,68.27856270473191,68.56550881686752,67.37626934831904,68.20 ± 0.55
Sensitivity,70.4968944099379,70.03105590062113,70.03105590062113,68.47826086956522,68.47826086956522,69.50 ± 0.95
Specificity,79.1035658637686,79.7502562258911,78.90632720499148,79.82892574519204,79.61481540358051,79.44 ± 0.41
F1-score,68.93616979750202,69.31307326843559,68.89495281049473,68.39401718494483,67.2161608819553,68.55 ± 0.81
AUC,78.1988068982974,77.41980641532281,74.88180280381982,78.00480602379174,76.71132405622676,77.04 ± 1.34
