,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,72.04968944099379,70.65217391304348,72.20496894409938,72.67080745341616,70.96273291925466,71.71 ± 0.86
Precision,70.12200734300951,68.28825527981539,69.4343339771683,70.22115908500348,68.37100548232044,69.29 ± 0.93
Sensitivity,72.04968944099379,70.65217391304348,72.20496894409938,72.67080745341616,70.96273291925466,71.71 ± 0.86
Specificity,79.50408179012794,78.49298145085064,79.38745622210064,79.70062102103705,78.69904837198011,79.16 ± 0.53
F1-score,70.75043416903057,69.1747611904678,70.38303857601849,70.8033277056697,69.2956322327982,70.08 ± 0.79
AUC,77.14973389395205,76.60436373495288,79.17776305215554,78.01132183190921,77.47843104602907,77.68 ± 0.98
