,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,71.58385093167702,73.4472049689441,71.58385093167702,71.11801242236024,74.22360248447205,72.39 ± 1.36
Precision,69.89494766441227,70.72058235406554,68.58848471404667,68.98155385786067,70.65626274002086,69.77 ± 0.96
Sensitivity,71.58385093167702,73.4472049689441,71.58385093167702,71.11801242236024,74.22360248447205,72.39 ± 1.36
Specificity,79.88718131793999,78.5888272425414,77.55769973709893,76.98758866859812,78.21613371874709,78.25 ± 1.10
F1-score,70.58454956929565,70.97700155602425,69.06964545751731,69.04549625845671,70.68624325587241,70.07 ± 0.94
AUC,78.82994786051425,77.65543917613962,76.74520611955089,75.32029958079745,76.14325709179587,76.94 ± 1.36
