,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.65217391304348,58.22981366459628,70.03105590062113,65.527950310559,57.7639751552795,64.44 ± 6.21
Precision,67.56151416770273,58.284557415449534,65.95958028826871,61.66225761984742,55.778864472603004,61.85 ± 4.98
Sensitivity,70.65217391304348,58.22981366459628,70.03105590062113,65.527950310559,57.7639751552795,64.44 ± 6.21
Specificity,78.48782115584291,72.84047777949895,76.84559675346856,74.1614730118505,70.80990814030251,74.63 ± 3.07
F1-score,68.42527930136312,58.05645191820875,67.14421652619134,62.952737793607916,56.67425288470787,62.65 ± 5.25
AUC,79.69377677490986,61.58675637009552,76.78104974576799,68.11456035514742,60.57132844725921,69.35 ± 8.68
