,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,68.7888198757764,68.63354037267081,69.25465838509317,70.34161490683229,72.20496894409938,69.84 ± 1.48
Precision,67.36693320860063,65.61907159146996,67.7949336800604,67.71283263749453,68.32156789765052,67.36 ± 1.03
Sensitivity,68.7888198757764,68.63354037267081,69.25465838509317,70.34161490683229,72.20496894409938,69.84 ± 1.48
Specificity,78.53466670714968,77.52532299546712,78.28445847425837,77.72651003737008,75.24606162481669,77.46 ± 1.30
F1-score,67.98143590461162,66.33700616316392,68.29276499196682,68.56893302244504,67.18883226922885,67.67 ± 0.91
AUC,73.62259787802935,74.31551931964255,74.61889928546562,75.66065449045729,74.07605088654792,74.46 ± 0.76
