,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,68.94409937888199,69.09937888198758,70.4968944099379,69.72049689440993,69.40993788819875,69.53 ± 0.62
Precision,66.4824824218477,65.79361242023495,68.43981744085133,67.70578549163066,66.42201197021612,66.97 ± 1.08
Sensitivity,68.94409937888199,69.09937888198758,70.4968944099379,69.72049689440993,69.40993788819875,69.53 ± 0.62
Specificity,77.68190942389771,75.95716059102364,78.44716892549637,78.1863677447332,77.2574582378711,77.51 ± 0.98
F1-score,67.44499312595806,66.56371757130553,69.18305309072217,68.45034686124868,67.45899279075738,67.82 ± 1.01
AUC,74.87049862146846,72.79231369395015,76.48441933794889,75.8526834531421,75.05837134660835,75.01 ± 1.40
