,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.65217391304348,54.81366459627329,62.267080745341616,71.8944099378882,71.42857142857143,66.21 ± 7.50
Precision,67.82790873123035,61.18452931588917,61.09246948648459,68.90474844616466,69.09459874392508,65.62 ± 4.12
Sensitivity,70.65217391304348,54.81366459627329,62.267080745341616,71.8944099378882,71.42857142857143,66.21 ± 7.50
Specificity,77.73691604138783,74.48922104299328,75.92544298763612,77.62790682383101,78.3425271031522,76.82 ± 1.58
F1-score,68.53990122276528,56.26590353187515,60.49578841324406,69.18003916330483,69.66780302677282,64.83 ± 6.09
AUC,76.41350355173043,67.55875713301863,69.57209826094973,74.88883629106037,74.19668118061274,72.53 ± 3.77
