,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,65.06211180124224,62.732919254658384,67.85714285714286,68.7888198757764,67.3913043478261,66.37 ± 2.45
Precision,66.81288843498831,64.32737661065845,69.05442540085758,68.72931130654243,68.71039316440172,67.53 ± 2.00
Sensitivity,65.06211180124224,62.732919254658384,67.85714285714286,68.7888198757764,67.3913043478261,66.37 ± 2.45
Specificity,78.29167676324637,77.1179513867334,80.1248610894353,79.81791378523336,80.03025944132538,79.08 ± 1.32
F1-score,65.81032765802486,63.16947821562783,68.3459250898667,68.68422501739475,67.80801798035976,66.76 ± 2.30
AUC,74.44410409922432,73.85613559092434,76.72313181508169,76.77592365189614,76.66211322998736,75.69 ± 1.42
