,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,70.03105590062113,74.06832298136646,75.77639751552795,72.51552795031056,70.4968944099379,72.58 ± 2.41
Precision,68.61930243669374,72.1093861070001,73.49479072750084,70.62196726578163,67.4977983506696,70.47 ± 2.46
Sensitivity,70.03105590062113,74.06832298136646,75.77639751552795,72.51552795031056,70.4968944099379,72.58 ± 2.41
Specificity,78.87826467626901,79.73044823527903,80.57622735570045,80.34958855269294,77.34629363503235,79.38 ± 1.31
F1-score,69.19518443509719,72.29675440650496,73.5593164946987,71.33301425316908,68.30545561744368,70.94 ± 2.17
AUC,77.8218700037651,76.77836225269272,81.72491278862002,79.16446091487066,75.55264132248777,78.21 ± 2.37
