,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,73.29192546583852,72.36024844720497,72.20496894409938,72.51552795031056,71.8944099378882,72.45 ± 0.52
Precision,71.47912649519208,70.94064903202003,69.93746728770166,71.01465196651294,68.32986163712569,70.34 ± 1.26
Sensitivity,73.29192546583852,72.36024844720497,72.20496894409938,72.51552795031056,71.8944099378882,72.45 ± 0.52
Specificity,79.15805999724483,80.34512768555322,78.99613438787716,80.16721676507326,78.22301840965058,79.38 ± 0.88
F1-score,71.61470817127343,71.4752457331396,70.54357966582279,71.56102927957691,69.23503807360423,70.89 ± 1.02
AUC,78.95096700700469,78.11502866721942,79.17469174410884,78.1076075062124,78.17260796987439,78.50 ± 0.52
