,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,64.75155279503106,64.90683229813664,65.527950310559,67.3913043478261,67.08074534161491,65.93 ± 1.23
Precision,67.01474892805699,67.06164590053837,68.41814361113914,68.73267165767045,67.89798848835119,67.83 ± 0.78
Sensitivity,64.75155279503106,64.90683229813664,65.527950310559,67.3913043478261,67.08074534161491,65.93 ± 1.23
Specificity,78.69549482716685,79.24855532690388,79.61785324120999,79.91433330116608,79.47938263919468,79.39 ± 0.46
F1-score,65.58342013275319,65.38132958600558,66.59825286969887,67.93522506517353,67.37080756397368,66.57 ± 1.11
AUC,75.84449328083367,75.85563306650542,76.29523538074847,78.34410252753861,77.54693181214192,76.78 ± 1.12
