,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,68.63354037267081,69.40993788819875,70.1863354037267,70.1863354037267,69.40993788819875,69.57 ± 0.65
Precision,67.49331072512388,66.54876926616056,67.77758341463625,68.3597286081758,67.27998078460621,67.49 ± 0.67
Sensitivity,68.63354037267081,69.40993788819875,70.1863354037267,70.1863354037267,69.40993788819875,69.57 ± 0.65
Specificity,78.70593306288359,76.55454934637659,78.34373901503407,78.30238735681955,77.5291779066659,77.89 ± 0.86
F1-score,67.91925116303395,67.39605780200279,68.60639032054388,69.05161039713423,67.75388951875588,68.15 ± 0.67
AUC,76.0226819619836,76.63203750384079,76.45999400630939,76.64412806957849,76.07574695493958,76.37 ± 0.30
