,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average with std
Accuracy,64.13043478260869,43.47826086956522,64.44099378881988,64.75155279503106,66.30434782608695,60.62 ± 9.62
Precision,66.23339715465795,65.53598477950203,64.01324905623987,66.47419720939997,65.96889327485691,65.65 ± 0.98
Sensitivity,64.13043478260869,43.47826086956522,64.44099378881988,64.75155279503106,66.30434782608695,60.62 ± 9.62
Specificity,77.97990276212123,73.41104976129526,76.67899915933282,78.70878395665892,77.96339690907031,76.95 ± 2.11
F1-score,64.93070920746872,43.40916407760345,64.1778274705602,65.36371516140761,65.78959443783681,60.73 ± 9.70
AUC,75.24951449812231,66.76642804172562,74.69305256316763,74.86089538695236,74.83979310093648,73.28 ± 3.65
